File,Wavelet,Coefficient_Type,Level,PSNR
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Approximate,2,34.301913254524734
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,sym2,Detailed,2,40.28195727825298
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,coif1,Approximate,1,36.07161616670585
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,coif1,Detailed,1,42.64192128502947
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,bior1.3,Approximate,1,35.21482600312514
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,bior1.3,Detailed,1,40.53707653452229
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,rbio1.3,Approximate,1,35.494073137381726
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_3.png,rbio1.3,Detailed,1,41.759973473931026
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,1,33.348145607661756
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,1,36.07718083956785
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,2,31.10685729881618
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,2,35.880943351911384
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Approximate,3,30.150342817673273
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,haar,Detailed,3,35.67670521154609
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,db3,Approximate,1,34.57772543764345
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,db3,Detailed,1,36.57238447420311
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Approximate,1,33.694914488296384
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Detailed,1,36.19260334851798
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Approximate,2,32.37507673662605
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,sym2,Detailed,2,36.12480629918571
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,coif1,Approximate,1,34.25616378551556
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,coif1,Detailed,1,36.385602259035494
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,bior1.3,Approximate,1,33.17940906000227
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,bior1.3,Detailed,1,36.05692872858271
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,rbio1.3,Approximate,1,33.98803555920347
rotated_0deg_Q2_2023-09-28_3_19_42_uv_Photo_Capture_4.png,rbio1.3,Detailed,1,36.56733160007987
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Approximate,1,35.35030640915034
rotated_0deg_Q3_2023-09-28_3_19_42_uv_Photo_Capture_1.png,haar,Detailed,1,36.41166477026666
